"No","Kecamatan","DesilKesejahteraan","PrioritasVerval","JenisKelamin","HubungaKepalaKeluarga","Pekerjaan","Usia2023","PenerimaSEMBAKO"
"51536","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","18","Tidak"
"51537","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","49","Tidak"
"51538","KOTA KUDUS","2","Normal","Perempuan","Istri","4","39","Tidak"
"51539","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"51540","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","45","Tidak"
"51541","KOTA KUDUS","2","Normal","Perempuan","Istri","1","41","Ya"
"51542","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","10","Tidak"
"51543","KOTA KUDUS","2","Normal","Perempuan","Anak","1","15","Tidak"
"51544","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","16","Tidak"
"51545","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","19","Tidak"
"51546","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","47","Tidak"
"51547","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","1","43","Tidak"
"51548","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","8","Tidak"
"51549","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","9","Tidak"
"51550","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","15","Tidak"
"51551","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","21","Tidak"
"51552","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","49","Tidak"
"51553","KOTA KUDUS","2","Normal","Laki-laki","Lainnya","0","47","Tidak"
"51554","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","52","Tidak"
"51555","KOTA KUDUS","2","Normal","Perempuan","Istri","1","50","Tidak"
"51556","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","22","Tidak"
"51557","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","22","Tidak"
"51558","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","23","Tidak"
"51559","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","46","Tidak"
"51560","KOTA KUDUS","2","Normal","Perempuan","Istri","1","43","Tidak"
"51561","KOTA KUDUS","2","Normal","Perempuan","Anak","1","7","Tidak"
"51562","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","11","Tidak"
"51563","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","17","Tidak"
"51564","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","52","Tidak"
"51565","KOTA KUDUS","2","Normal","Perempuan","Istri","4","49","Tidak"
"51566","KOTA KUDUS","2","Normal","Perempuan","Anak","1","12","Tidak"
"51567","KOTA KUDUS","2","Normal","Perempuan","Anak","1","21","Tidak"
"51568","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","1","88","Tidak"
"51569","KOTA KUDUS","2","Normal","Perempuan","Istri","1","65","Ya"
"51570","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","26","Tidak"
"51571","KOTA KUDUS","2","Normal","Perempuan","Anak","2","33","Tidak"
"51572","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","48","Tidak"
"51573","KOTA KUDUS","2","Normal","Perempuan","Istri","1","39","Tidak"
"51574","KOTA KUDUS","2","Normal","Perempuan","Anak","1","3","Tidak"
"51575","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","14","Tidak"
"51576","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","20","Tidak"
"51577","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","48","Tidak"
"51578","KOTA KUDUS","2","Normal","Perempuan","Istri","2","39","Tidak"
"51579","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","7","Tidak"
"51580","KOTA KUDUS","2","Normal","Perempuan","Anak","1","10","Tidak"
"51581","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","14","Tidak"
"51582","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","54","Tidak"
"51583","KOTA KUDUS","2","Normal","Perempuan","Istri","1","51","Tidak"
"51584","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","23","Tidak"
"51585","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","28","Tidak"
"51586","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","37","Tidak"
"51587","KOTA KUDUS","2","Normal","Perempuan","Istri","2","32","Tidak"
"51588","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","8","Tidak"
"51589","KOTA KUDUS","2","Normal","Perempuan","Anak","1","10","Tidak"
"51590","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","42","Tidak"
"51591","KOTA KUDUS","2","Normal","Perempuan","Istri","1","32","Tidak"
"51592","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","11","Tidak"
"51593","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"51594","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","39","Tidak"
"51595","KOTA KUDUS","2","Normal","Perempuan","Istri","2","39","Tidak"
"51596","KOTA KUDUS","2","Normal","Perempuan","Anak","1","13","Tidak"
"51597","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","64","Tidak"
"51598","KOTA KUDUS","2","Normal","Perempuan","Istri","1","55","Tidak"
"51599","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","28","Tidak"
"51600","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","37","Tidak"
"51601","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","64","Tidak"
"51602","KOTA KUDUS","2","Normal","Perempuan","Istri","1","62","Tidak"
"51603","KOTA KUDUS","2","Normal","Laki-laki","Anak","0","27","Tidak"
"51604","KOTA KUDUS","2","Normal","Laki-laki","Anak","0","31","Tidak"
"51605","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","37","Tidak"
"51606","KOTA KUDUS","2","Normal","Perempuan","Istri","1","36","Tidak"
"51607","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","3","Tidak"
"51608","KOTA KUDUS","2","Normal","Perempuan","Anak","1","8","Tidak"
"51609","KOTA KUDUS","2","Normal","Perempuan","Anak","1","12","Tidak"
"51610","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","3","57","Tidak"
"51611","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","2","49","Tidak"
"51612","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","7","Tidak"
"51613","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","13","Tidak"
"51614","KOTA KUDUS","2","Normal","Perempuan","Kepala Keluarga","4","64","Ya"
"51615","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","24","Tidak"
"51616","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","69","Tidak"
"51617","KOTA KUDUS","2","Normal","Perempuan","Istri","1","65","Tidak"
"51618","KOTA KUDUS","2","Normal","Laki-laki","Anak","0","24","Tidak"
"51619","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","27","Tidak"
"51620","KOTA KUDUS","2","Normal","Laki-laki","Anak","0","29","Tidak"
"51621","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","2","38","Tidak"
"51622","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","41","Tidak"
"51623","KOTA KUDUS","2","Normal","Perempuan","Kepala Keluarga","1","63","Ya"
"51624","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","33","Tidak"
"51625","KOTA KUDUS","2","Normal","Perempuan","Anak","0","35","Tidak"
"51626","KOTA KUDUS","2","Normal","Laki-laki","Anak","0","40","Tidak"
"51627","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","0","40","Ya"
"51628","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","2","35","Tidak"
"51629","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","11","Tidak"
"51630","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","14","Tidak"
"51631","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","47","Tidak"
"51632","KOTA KUDUS","2","Normal","Perempuan","Istri","0","45","Ya"
"51633","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","7","Tidak"
"51634","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"51635","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","24","Tidak"
"51636","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","50","Tidak"
"51637","KOTA KUDUS","2","Normal","Perempuan","Istri","0","47","Ya"
"51638","KOTA KUDUS","2","Normal","Perempuan","Anak","1","11","Tidak"
"51639","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","15","Tidak"
"51640","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","24","Tidak"
"51641","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","65","Tidak"
"51642","KOTA KUDUS","2","Normal","Perempuan","Istri","4","56","Tidak"
"51643","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"51644","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","19","Tidak"
"51645","KOTA KUDUS","2","Normal","Perempuan","Anak","1","23","Tidak"
"51646","KOTA KUDUS","2","Normal","Perempuan","Anak","2","26","Tidak"
"51647","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","48","Tidak"
"51648","KOTA KUDUS","2","Normal","Perempuan","Istri","2","49","Tidak"
"51649","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","20","Tidak"
"51650","KOTA KUDUS","2","Normal","Perempuan","Anak","1","23","Tidak"
"51651","KOTA KUDUS","2","Normal","Perempuan","Kepala Keluarga","1","67","Ya"
"51652","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","30","Tidak"
"51653","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","32","Tidak"
"51654","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","34","Tidak"
"51655","KOTA KUDUS","2","Normal","Perempuan","Istri","1","35","Tidak"
"51656","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","5","Tidak"
"51657","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","8","Tidak"
"51658","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","13","Tidak"
"51659","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","55","Tidak"
"51660","KOTA KUDUS","2","Normal","Perempuan","Istri","1","53","Tidak"
"51661","KOTA KUDUS","2","Normal","Perempuan","Anak","1","20","Tidak"
"51662","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","31","Tidak"
"51663","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","55","Tidak"
"51664","KOTA KUDUS","2","Normal","Perempuan","Istri","2","49","Ya"
"51665","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","8","Tidak"
"51666","KOTA KUDUS","2","Normal","Perempuan","Anak","1","20","Tidak"
"51667","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","55","Tidak"
"51668","KOTA KUDUS","2","Normal","Perempuan","Istri","1","51","Ya"
"51669","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"51670","KOTA KUDUS","2","Normal","Perempuan","Anak","2","24","Tidak"
"51671","KOTA KUDUS","2","Normal","Laki-laki","Lainnya","0","53","Tidak"
"51672","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","55","Tidak"
"51673","KOTA KUDUS","2","Normal","Perempuan","Istri","1","53","Tidak"
"51674","KOTA KUDUS","2","Normal","Perempuan","Anak","1","15","Tidak"
"51675","KOTA KUDUS","2","Normal","Perempuan","Anak","1","23","Tidak"
"51676","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","28","Tidak"
"51677","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","71","Tidak"
"51678","KOTA KUDUS","2","Normal","Perempuan","Istri","3","69","Tidak"
"51679","KOTA KUDUS","2","Normal","Perempuan","Anak","1","32","Tidak"
"51680","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","46","Tidak"
"51681","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","33","Tidak"
"51682","KOTA KUDUS","2","Normal","Perempuan","Istri","2","48","Tidak"
"51683","KOTA KUDUS","2","Normal","Perempuan","Anak","1","8","Tidak"
"51684","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","10","Tidak"
"51685","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","58","Tidak"
"51686","KOTA KUDUS","2","Normal","Perempuan","Istri","4","59","Ya"
"51687","KOTA KUDUS","2","Normal","Perempuan","Anak","0","20","Tidak"
"51688","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","22","Tidak"
"51689","KOTA KUDUS","2","Normal","Perempuan","Anak","0","24","Tidak"
"51690","KOTA KUDUS","2","Normal","Perempuan","Anak","0","28","Tidak"
"51691","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","2","41","Tidak"
"51692","KOTA KUDUS","2","Normal","Perempuan","Istri","4","41","Tidak"
"51693","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","12","Tidak"
"51694","KOTA KUDUS","2","Normal","Perempuan","Anak","1","14","Tidak"
"51695","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","20","Tidak"
"51696","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","62","Tidak"
"51697","KOTA KUDUS","2","Normal","Perempuan","Istri","1","60","Tidak"
"51698","KOTA KUDUS","2","Normal","Perempuan","Anak","1","19","Tidak"
"51699","KOTA KUDUS","2","Normal","Perempuan","Lainnya","1","93","Tidak"
"51700","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","28","Tidak"
"51701","KOTA KUDUS","2","Normal","Laki-laki","Lainnya","1","22","Tidak"
"51702","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","57","Tidak"
"51703","KOTA KUDUS","2","Normal","Perempuan","Istri","0","56","Tidak"
"51704","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","12","Tidak"
"51705","KOTA KUDUS","2","Normal","Laki-laki","Anak","0","25","Tidak"
"51706","KOTA KUDUS","2","Normal","Perempuan","Anak","0","28","Tidak"
"51707","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","49","Tidak"
"51708","KOTA KUDUS","2","Normal","Perempuan","Istri","3","49","Tidak"
"51709","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","21","Tidak"
"51710","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","26","Tidak"
"51711","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","54","Tidak"
"51712","KOTA KUDUS","2","Normal","Perempuan","Istri","4","50","Tidak"
"51713","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"51714","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","49","Tidak"
"51715","KOTA KUDUS","2","Normal","Perempuan","Istri","0","48","Ya"
"51716","KOTA KUDUS","2","Normal","Perempuan","Anak","1","16","Tidak"
"51717","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","58","Tidak"
"51718","KOTA KUDUS","2","Normal","Perempuan","Istri","4","50","Tidak"
"51719","KOTA KUDUS","2","Normal","Perempuan","Anak","1","4","Tidak"
"51720","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","19","Tidak"
"51721","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","29","Tidak"
"51722","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","53","Tidak"
"51723","KOTA KUDUS","2","Normal","Perempuan","Istri","0","49","Tidak"
"51724","KOTA KUDUS","2","Normal","Perempuan","Anak","2","22","Tidak"
"51725","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","28","Tidak"
"51726","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","30","Tidak"
"51727","KOTA KUDUS","2","Normal","Perempuan","Istri","0","27","Tidak"
"51728","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","5","Tidak"
"51729","KOTA KUDUS","2","Normal","Perempuan","Anak","1","7","Tidak"
"51730","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","36","Tidak"
"51731","KOTA KUDUS","2","Normal","Perempuan","Istri","0","32","Ya"
"51732","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","3","Tidak"
"51733","KOTA KUDUS","2","Normal","Perempuan","Anak","1","9","Tidak"
"51734","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","38","Tidak"
"51735","KOTA KUDUS","2","Normal","Perempuan","Istri","2","38","Tidak"
"51736","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","11","Tidak"
"51737","KOTA KUDUS","2","Normal","Perempuan","Lainnya","1","68","Tidak"
"51738","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","46","Tidak"
"51739","KOTA KUDUS","2","Normal","Perempuan","Istri","1","40","Tidak"
"51740","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","10","Tidak"
"51741","KOTA KUDUS","2","Normal","Perempuan","Anak","1","18","Tidak"
"51742","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","34","Tidak"
"51743","KOTA KUDUS","2","Normal","Perempuan","Istri","1","33","Tidak"
"51744","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","4","Tidak"
"51745","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","12","Tidak"
"51746","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","36","Tidak"
"51747","KOTA KUDUS","2","Normal","Perempuan","Istri","0","36","Tidak"
"51748","KOTA KUDUS","2","Normal","Perempuan","Anak","1","9","Tidak"
"51749","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","17","Tidak"
"51750","KOTA KUDUS","2","Normal","Perempuan","Kepala Keluarga","0","54","Ya"
"51751","KOTA KUDUS","2","Normal","Perempuan","Lainnya","1","65","Ya"
"51752","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","52","Tidak"
"51753","KOTA KUDUS","2","Normal","Perempuan","Istri","2","38","Tidak"
"51754","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","15","Tidak"
"51755","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"51756","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","56","Tidak"
"51757","KOTA KUDUS","2","Normal","Perempuan","Istri","1","62","Tidak"
"51758","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","25","Tidak"
"51759","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","28","Tidak"
"51760","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","29","Tidak"
"51761","KOTA KUDUS","2","Normal","Perempuan","Anak","2","31","Tidak"
"51762","KOTA KUDUS","2","Normal","Laki-laki","Anak","2","33","Tidak"
"51763","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","33","Tidak"
"51764","KOTA KUDUS","2","Normal","Perempuan","Istri","2","35","Tidak"
"51765","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","9","Tidak"
"51766","KOTA KUDUS","2","Normal","Perempuan","Lainnya","1","72","Tidak"
"51767","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","0","50","Tidak"
"51768","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","1","49","Ya"
"51769","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","17","Tidak"
"51770","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","19","Tidak"
"51771","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","22","Tidak"
"51772","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","2","28","Tidak"
"51773","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","2","37","Tidak"
"51774","KOTA KUDUS","2","Normal","Perempuan","Istri","1","30","Tidak"
"51775","KOTA KUDUS","2","Normal","Perempuan","Anak","1","7","Tidak"
"51776","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","11","Tidak"
"51777","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","41","Tidak"
"51778","KOTA KUDUS","2","Normal","Perempuan","Istri","1","35","Tidak"
"51779","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","7","Tidak"
"51780","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","13","Tidak"
"51781","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","46","Tidak"
"51782","KOTA KUDUS","2","Normal","Perempuan","Istri","1","39","Tidak"
"51783","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","8","Tidak"
"51784","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","16","Tidak"
"51785","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","0","41","Tidak"
"51786","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","0","40","Tidak"
"51787","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","6","Tidak"
"51788","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","11","Tidak"
"51789","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","19","Tidak"
"51790","KOTA KUDUS","2","Normal","Perempuan","Kepala Keluarga","1","46","Ya"
"51791","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","12","Tidak"
"51792","KOTA KUDUS","2","Normal","Perempuan","Anak","1","21","Tidak"
"51793","KOTA KUDUS","2","Normal","Perempuan","Anak","1","24","Tidak"
"51794","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","47","Tidak"
"51795","KOTA KUDUS","2","Normal","Perempuan","Istri","0","46","Tidak"
"51796","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","15","Tidak"
"51797","KOTA KUDUS","2","Normal","Perempuan","Anak","1","20","Tidak"
"51798","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","21","Tidak"
"51799","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","23","Tidak"
"51800","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","50","Tidak"
"51801","KOTA KUDUS","2","Normal","Perempuan","Istri","3","45","Tidak"
"51802","KOTA KUDUS","2","Normal","Perempuan","Anak","1","10","Tidak"
"51803","KOTA KUDUS","2","Normal","Perempuan","Anak","1","13","Tidak"
"51804","KOTA KUDUS","2","Normal","Laki-laki","Anak","0","19","Tidak"
"51805","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","3","25","Tidak"
"51806","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","4","39","Tidak"
"51807","KOTA KUDUS","2","Normal","Perempuan","Istri","1","37","Tidak"
"51808","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","4","Tidak"
"51809","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","6","Tidak"
"51810","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","14","Tidak"
"51811","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","3","54","Tidak"
"51812","KOTA KUDUS","2","Normal","Perempuan","Istri","1","45","Tidak"
"51813","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","9","Tidak"
"51814","KOTA KUDUS","2","Normal","Perempuan","Anak","1","11","Tidak"
"51815","KOTA KUDUS","2","Normal","Perempuan","Anak","1","21","Tidak"
"51816","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","23","Tidak"
"51817","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","26","Tidak"
"51818","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","2","42","Tidak"
"51819","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","1","40","Tidak"
"51820","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","10","Tidak"
"51821","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","14","Tidak"
"51822","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","17","Tidak"
"51823","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","3","44","Tidak"
"51824","KOTA KUDUS","2","Normal","Perempuan","Istri","1","39","Tidak"
"51825","KOTA KUDUS","2","Normal","Perempuan","Anak","1","4","Tidak"
"51826","KOTA KUDUS","2","Normal","Perempuan","Anak","1","11","Tidak"
"51827","KOTA KUDUS","2","Normal","Perempuan","Anak","1","17","Tidak"
"51828","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","44","Tidak"
"51829","KOTA KUDUS","2","Normal","Perempuan","Istri","0","44","Tidak"
"51830","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Anak","1","11","Tidak"
"51831","KOTA KUDUS","2","Normal","Perempuan","Anak","1","11","Tidak"
"51832","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","22","Tidak"
"51833","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","55","Tidak"
"51834","KOTA KUDUS","2","Normal","Perempuan","Istri","1","54","Ya"
"51835","KOTA KUDUS","2","Normal","Perempuan","Anak","1","15","Tidak"
"51836","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","18","Tidak"
"51837","KOTA KUDUS","2","Normal","Perempuan","Anak","1","19","Tidak"
"51838","KOTA KUDUS","2","NIK Duplikat","Perempuan","Anak","1","24","Ya"
"51839","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","27","Tidak"
"51840","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","41","Tidak"
"51841","KOTA KUDUS","2","Normal","Perempuan","Istri","1","36","Tidak"
"51842","KOTA KUDUS","2","Normal","Perempuan","Anak","1","3","Tidak"
"51843","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","5","Tidak"
"51844","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","10","Tidak"
"51845","KOTA KUDUS","2","Normal","Perempuan","Kepala Keluarga","4","54","Ya"
"51846","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","14","Tidak"
"51847","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","19","Tidak"
"51848","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","36","Tidak"
"51849","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","41","Tidak"
"51850","KOTA KUDUS","2","NIK Duplikat","Perempuan","Istri","1","41","Tidak"
"51851","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","9","Tidak"
"51852","KOTA KUDUS","2","Normal","Perempuan","Anak","1","17","Tidak"
"51853","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","19","Tidak"
"51854","KOTA KUDUS","2","Normal","Perempuan","Lainnya","1","78","Tidak"
"51855","KOTA KUDUS","2","Normal","Laki-laki","Kepala Keluarga","0","45","Tidak"
"51856","KOTA KUDUS","2","Normal","Perempuan","Istri","0","43","Tidak"
"51857","KOTA KUDUS","2","Normal","Perempuan","Anak","1","4","Tidak"
"51858","KOTA KUDUS","2","Normal","Perempuan","Anak","1","12","Tidak"
"51859","KOTA KUDUS","2","Normal","Laki-laki","Anak","1","21","Tidak"
"51860","KOTA KUDUS","2","NIK Duplikat","Laki-laki","Kepala Keluarga","0","44","Tidak"
"51861","KOTA KUDUS","2","Normal","Perempuan","Istri","0","42","Tidak"
"51862","KOTA KUDUS","2","Normal","Perempuan","Anak","1","9","Tidak"
